Acct id,min,max,mean,std,median,min_l3,max_l3,mean_l3,std_l3,median_l3,min_l6,max_l6,mean_l6,std_l6,median_l6,percentile_1_flag_gt,percentile_1_flag_lt,percentile_5_flag_gt,percentile_5_flag_lt,percentile_10_flag_gt,percentile_10_flag_lt,percentile_25_flag_gt,percentile_25_flag_lt,percentile_50_flag_gt,percentile_50_flag_lt,percentile_75_flag_gt,percentile_75_flag_lt,percentile_95_flag_gt,percentile_95_flag_lt,percentile_99_flag_gt,percentile_99_flag_lt,trend_slope,mean_a1_dwt,median_a1_dwt,std_a1_dwt,max_a1_dwt,mean_a2_dwt,median_a2_dwt,std_a2_dwt,max_a2_dwt,acct_id,r2,Christmas_Day,Columbus_Day,Independence_Day,Independence_Day_observed,Labor_Day,Martin_Luther_King_Jr_Day,Memorial_Day,New_Years_Day,Thanksgiving,Veterans_Day,Washingtons_Birthday,ENT,SMB,activate,convert,score_convert_lr,prediction_category
SA67367,306,1650,699.8888888888889,406.1106513145292,566.0,306,565,449.3333333333333,131.69788659402752,477.0,306,1650,759.8333333333334,491.7704410257561,565.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.0,1.0,0.0,1.0,233.73354978355067,1388.5000000000002,1254.5000000000002,264.5414271275233,1758.0000000000005,-171.8269478283311,-160.51323932934633,168.07914802259089,56.568542494923804,SA67367,0.32964993024643563,-442.99999999999994,2.842170943040401e-14,-5.684341886080802e-14,0.0,0.0,-426.5,0.0,140.00000000000023,0.0,0.0,0.0,1,0,1,1,0.530093094509229,1
SA78166,336,1208,636.0,277.6516602587574,600.5,336,932,640.3333333333334,298.2018332159166,653.0,336,1208,639.5,364.4792175145244,508.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.1,0.9,0.0,1.0,0.0,1.0,39.93560606060595,1275.1666666666667,1279.5,9.877021593352774,1284.5000000000002,157.2605481358882,97.58073580374355,217.5603824229035,421.43564158718243,SA78166,0.3235862925798557,7.105427357601002e-14,0.0,0.0,0.0,0.0,72.19999999999993,0.0,4.199999999999974,0.0,0.0,386.69999999999976,1,0,1,0,0.5366063631976695,2
SA66267,18,61,41.166666666666664,13.543420632330758,44.5,42,52,48.0,5.291502622129181,50.0,35,53,46.5,6.892024376045111,48.5,1.0,0.0,1.0,0.0,0.75,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.9010989010989051,82.33333333333333,89.5,10.849987199173189,90.5,-2.592724864350675,-1.7677669529663689,11.133033928109821,14.849242404917497,SA66267,3.304146704086186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2000000000000037,1,0,0,0,0.33636894645275983,1
SA20850,104,525,271.5833333333333,115.13348642757977,264.5,211,377,270.6666666666667,92.31648462400057,224.0,104,377,209.16666666666666,98.09264328514482,216.5,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-31.956793206793296,543.1666666666667,536.0000000000001,67.3477707294178,629.0000000000001,54.56507328156192,42.07285348059958,92.74464644627443,214.96046148071048,SA20850,0.030315672765615864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0,1,0,1,0.128217137757827,0
SA71094,344,1513,643.5,319.41893266594974,587.0,506,876,666.3333333333334,189.86925325953473,617.0,370,876,615.0,181.98681270905317,587.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,1.0,21.86913086913063,1287.0000000000002,1278.0,240.54244254739467,1586.0000000000002,-162.39885741251047,-162.63455967290597,244.35652459288073,183.14065632731575,SA71094,0.5838319613156044,31.600000000000087,3.979039320256561e-13,0.0,-5.684341886080802e-14,-4.263256414560601e-14,320.40000000000055,0.0,218.60000000000048,669.9000000000007,63.900000000000276,0.0,1,0,1,1,0.5361701882904597,2
SA9634,485,485,485.0,,485.0,485,485,485.0,,485.0,485,485,485.0,,485.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,161.66666666666669,970.0000000000002,970.0000000000002,0.0,970.0000000000002,0.0,0.0,0.0,0.0,SA9634,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.18863505264352287,1
SA67607,38,206,129.5,52.54657797747497,126.0,38,190,123.0,77.58221445666526,141.0,38,206,134.66666666666666,60.92509061681128,135.5,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,51.80952380952386,259.0,259.0,9.499999999999986,268.5,9.545941546018387,1.7677669529663618,64.57650501536918,107.48023074035522,SA67607,0.004966887417218513,0.0,0.0,0.0,0.0,8.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.11979912096431128,0
SA74401,345,988,631.9,204.4393145491672,610.0,596,988,780.6666666666666,196.98054049406338,758.0,346,988,651.1666666666666,212.100369322325,610.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7,0.3,0.0,1.0,0.0,1.0,0.0,1.0,-213.68257575757553,1311.666666666667,1206.0000000000002,243.62550952001914,1648.5000000000005,8.90954544295048,19.79898987322332,129.6754410056122,176.06958851545036,SA74401,0.3863341396415185,0.0,0.0,0.0,0.0,0.0,0.0,301.3749999999999,0.0,0.0,0.0,0.0,0,1,1,0,0.24725477824656433,1
SA23809,7,12,9.0,2.0,8.5,7,9,8.0,1.0,8.0,7,12,9.5,2.073644135332772,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.238095238095238,18.000000000000004,18.000000000000004,0.0,18.000000000000004,0.0,-0.7071067811865479,2.121320343559643,3.5355339059327386,SA23809,0.3214285714285714,0.0,0.0,0.0,0.0,0.0,-1.4999999999999991,0.0,0.0,0.0,0.0,-2.5,0,1,0,0,0.11634272863189854,0
SA12090,251,1249,841.4545454545455,307.6125366874256,753.0,251,1249,750.0,499.0,750.0,251,1249,869.6666666666666,369.20545319194116,913.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8181818181818182,0.18181818181818182,0.2727272727272727,0.7272727272727273,0.0,1.0,0.0,1.0,96.94685314685267,1648.0000000000002,1745.0000000000002,146.46728872573112,1758.0000000000005,-161.69175063132386,-201.87898602875933,194.28272640092788,120.9152595828997,SA12090,0.23200086450871105,-195.37500000000014,2.842170943040401e-14,-5.684341886080802e-14,5.684341886080802e-14,0.0,-37.56249999999997,0.0,-210.37500000000006,-319.0625000000002,0.0,0.0,1,0,1,1,0.5798920686805653,2
